rank,user_id,purchase_intent,predicted_intent,intent_tier,top_category,rec_pool,rec_product_ids,rec_product_names
1610,U003529,0.3035,0.283859,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
1611,U003857,0.3035,0.289226,高意向,图书音像,爆款高转化池,P001182|P000992|P001207|P001242|P001223,当当图书音像商品607|人民邮电出版社图书音像商品329|京东图书图书音像商品505|人民邮电出版社图书音像商品170|京东图书图书音像商品628
1612,U001298,0.3034,0.281805,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
1613,U004053,0.3034,0.275788,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
1614,U004782,0.3034,0.277386,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
1615,U000215,0.3033,0.256126,高意向,图书音像,爆款高转化池,P001182|P000992|P001207|P001242|P001223,当当图书音像商品607|人民邮电出版社图书音像商品329|京东图书图书音像商品505|人民邮电出版社图书音像商品170|京东图书图书音像商品628
1616,U002382,0.3033,0.280903,高意向,美妆护肤,爆款高转化池,P000532|P000773|P000947|P000971|P001402,珀莱雅美妆护肤商品523|自然堂美妆护肤商品332|珀莱雅美妆护肤商品976|SK-II美妆护肤商品867|珀莱雅美妆护肤商品932
1617,U003791,0.3031,0.278751,高意向,宠物用品,爆款高转化池,P000750|P000035|P001710|P000996|P000462,冠能宠物用品商品494|皇家宠物用品商品286|网易严选宠物用品商品732|麦富迪宠物用品商品635|冠能宠物用品商品709
1618,U001154,0.303,0.283634,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
1619,U001328,0.3029,0.294157,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
1620,U003542,0.3029,0.271377,高意向,图书音像,爆款高转化池,P001182|P000992|P001207|P001242|P001223,当当图书音像商品607|人民邮电出版社图书音像商品329|京东图书图书音像商品505|人民邮电出版社图书音像商品170|京东图书图书音像商品628
1621,U000049,0.3028,0.275499,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
1622,U004580,0.3028,0.27989,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
1623,U001901,0.3027,0.276305,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
1624,U002839,0.3027,0.278957,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
1625,U003516,0.3027,0.280023,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
1626,U003872,0.3027,0.279386,高意向,美妆护肤,爆款高转化池,P000532|P000773|P000947|P000971|P001402,珀莱雅美妆护肤商品523|自然堂美妆护肤商品332|珀莱雅美妆护肤商品976|SK-II美妆护肤商品867|珀莱雅美妆护肤商品932
1627,U000589,0.3025,0.29089,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
1628,U001339,0.3025,0.257062,高意向,家居家装,爆款高转化池,P000883|P000221|P001102|P001151|P001129,顾家家居家居家装商品927|曲美家居家装商品318|马可波罗家居家装商品703|宜家家居家装商品838|曲美家居家装商品570
1629,U003735,0.3025,0.231004,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
1630,U004488,0.3025,0.249829,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
1631,U002164,0.3024,0.304606,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
1632,U002234,0.3024,0.250082,高意向,宠物用品,爆款高转化池,P000750|P000035|P001710|P000996|P000462,冠能宠物用品商品494|皇家宠物用品商品286|网易严选宠物用品商品732|麦富迪宠物用品商品635|冠能宠物用品商品709
1633,U004429,0.3024,0.256992,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
1634,U000927,0.3022,0.267593,高意向,服装鞋包,爆款高转化池,P001734|P001740|P001694|P000314|P000970,ZARA服装鞋包商品462|耐克服装鞋包商品217|优衣库服装鞋包商品426|耐克服装鞋包商品620|海澜之家服装鞋包商品195
1635,U001593,0.3022,0.233763,高意向,宠物用品,爆款高转化池,P000750|P000035|P001710|P000996|P000462,冠能宠物用品商品494|皇家宠物用品商品286|网易严选宠物用品商品732|麦富迪宠物用品商品635|冠能宠物用品商品709
1636,U001321,0.302,0.284342,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
1637,U001941,0.302,0.302112,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
1638,U001927,0.3019,0.261232,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
1639,U003110,0.3018,0.247445,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
1640,U003509,0.3018,0.277446,高意向,美妆护肤,爆款高转化池,P000532|P000773|P000947|P000971|P001402,珀莱雅美妆护肤商品523|自然堂美妆护肤商品332|珀莱雅美妆护肤商品976|SK-II美妆护肤商品867|珀莱雅美妆护肤商品932
1641,U004236,0.3018,0.297287,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
1642,U002871,0.3017,0.284182,高意向,家用电器,爆款高转化池,P000904|P000206|P000946|P001013|P000285,格力家用电器商品379|美的家用电器商品467|松下家用电器商品394|海尔家用电器商品408|格力家用电器商品762
1643,U004994,0.3017,0.277845,高意向,箱包配饰,爆款高转化池,P000784|P000262|P001766|P000070|P001698,LV箱包配饰商品872|瑞士军威箱包配饰商品369|MK箱包配饰商品997|新秀丽箱包配饰商品905|外交官箱包配饰商品687
1644,U001780,0.3016,0.296918,高意向,手机数码,爆款高转化池,P000808|P001509|P000688|P000498|P001082,华为手机数码商品883|三星手机数码商品747|华为手机数码商品474|三星手机数码商品800|小米手机数码商品672
1645,U002907,0.3016,0.286993,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
1646,U001405,0.3014,0.254904,高意向,服装鞋包,爆款高转化池,P001734|P001740|P001694|P000314|P000970,ZARA服装鞋包商品462|耐克服装鞋包商品217|优衣库服装鞋包商品426|耐克服装鞋包商品620|海澜之家服装鞋包商品195
1647,U004989,0.3013,0.252398,高意向,手机数码,爆款高转化池,P000808|P001509|P000688|P000498|P001082,华为手机数码商品883|三星手机数码商品747|华为手机数码商品474|三星手机数码商品800|小米手机数码商品672
1648,U002024,0.3012,0.276389,高意向,家用电器,爆款高转化池,P000904|P000206|P000946|P001013|P000285,格力家用电器商品379|美的家用电器商品467|松下家用电器商品394|海尔家用电器商品408|格力家用电器商品762
1649,U004804,0.3011,0.284054,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
1650,U002950,0.301,0.259963,高意向,礼品鲜花,爆款高转化池,P001016|P000831|P001489|P000018|P001157,野兽派礼品鲜花商品306|Roseonly礼品鲜花商品580|诺誓礼品鲜花商品189|诺誓礼品鲜花商品463|施华洛世奇礼品鲜花商品442
1651,U003325,0.301,0.276797,高意向,图书音像,爆款高转化池,P001182|P000992|P001207|P001242|P001223,当当图书音像商品607|人民邮电出版社图书音像商品329|京东图书图书音像商品505|人民邮电出版社图书音像商品170|京东图书图书音像商品628
1652,U001427,0.3008,0.240434,高意向,母婴用品,爆款高转化池,P000923|P001341|P001282|P000310|P000627,贝因美母婴用品商品502|花王母婴用品商品597|花王母婴用品商品885|强生母婴用品商品283|帮宝适母婴用品商品545
1653,U003602,0.3008,0.259916,高意向,宠物用品,爆款高转化池,P000750|P000035|P001710|P000996|P000462,冠能宠物用品商品494|皇家宠物用品商品286|网易严选宠物用品商品732|麦富迪宠物用品商品635|冠能宠物用品商品709
1654,U000234,0.3007,0.262993,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
1655,U001658,0.3007,0.282755,高意向,母婴用品,爆款高转化池,P000923|P001341|P001282|P000310|P000627,贝因美母婴用品商品502|花王母婴用品商品597|花王母婴用品商品885|强生母婴用品商品283|帮宝适母婴用品商品545
1656,U001051,0.3006,0.279142,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
1657,U002073,0.3006,0.283155,高意向,珠宝首饰,爆款高转化池,P000538|P000126|P001784|P000192|P000551,老凤祥珠宝首饰商品443|周生生珠宝首饰商品232|老凤祥珠宝首饰商品799|老凤祥珠宝首饰商品808|老凤祥珠宝首饰商品566
1658,U003972,0.3006,0.274838,高意向,宠物用品,爆款高转化池,P000750|P000035|P001710|P000996|P000462,冠能宠物用品商品494|皇家宠物用品商品286|网易严选宠物用品商品732|麦富迪宠物用品商品635|冠能宠物用品商品709
1659,U004179,0.3006,0.274931,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
1660,U000777,0.3005,0.213713,高意向,医药保健,爆款高转化池,P000094|P001052|P001079|P000375|P000355,钙尔奇医药保健商品391|钙尔奇医药保健商品186|九芝堂医药保健商品943|东阿阿胶医药保健商品523|云南白药医药保健商品473
1661,U002466,0.3004,0.275761,高意向,运动户外,爆款高转化池,P001787|P001427|P000783|P000134|P000168,361度运动户外商品484|骆驼运动户外商品702|哥伦比亚运动户外商品762|哥伦比亚运动户外商品544|李宁运动户外商品543
1662,U004960,0.3004,0.289362,高意向,食品生鲜,爆款高转化池,P000080|P001955|P000818|P001304|P001988,伊利食品生鲜商品963|百草味食品生鲜商品833|金龙鱼食品生鲜商品198|五粮液食品生鲜商品181|良品铺子食品生鲜商品482
1663,U002252,0.3001,0.219945,高意向,手机数码,爆款高转化池,P000808|P001509|P000688|P000498|P001082,华为手机数码商品883|三星手机数码商品747|华为手机数码商品474|三星手机数码商品800|小米手机数码商品672
1664,U004189,0.3001,0.268707,高意向,图书音像,爆款高转化池,P001182|P000992|P001207|P001242|P001223,当当图书音像商品607|人民邮电出版社图书音像商品329|京东图书图书音像商品505|人民邮电出版社图书音像商品170|京东图书图书音像商品628
1665,U001849,0.1998,0.223528,低意向,美妆护肤,高性价比优惠池,P001748|P000034|P001010|P000095|P001810,完美日记美妆护肤商品797|雅诗兰黛美妆护肤商品818|雅诗兰黛美妆护肤商品295|欧莱雅美妆护肤商品977|欧莱雅美妆护肤商品587
1666,U001203,0.1995,0.219836,低意向,珠宝首饰,高性价比优惠池,P000974|P000711|P001945|P000774|P001226,明牌珠宝首饰商品793|老凤祥珠宝首饰商品116|老凤祥珠宝首饰商品246|周大福珠宝首饰商品251|潮宏基珠宝首饰商品314
1667,U002358,0.1995,0.242635,低意向,珠宝首饰,高性价比优惠池,P000974|P000711|P001945|P000774|P001226,明牌珠宝首饰商品793|老凤祥珠宝首饰商品116|老凤祥珠宝首饰商品246|周大福珠宝首饰商品251|潮宏基珠宝首饰商品314
1668,U003502,0.1995,0.278102,低意向,汽车用品,高性价比优惠池,P001350|P001831|P000932|P001413|P001281,海康威视汽车用品商品339|3M汽车用品商品278|米其林汽车用品商品745|3M汽车用品商品342|卡仕达汽车用品商品144
1669,U004165,0.1995,0.20838,低意向,箱包配饰,高性价比优惠池,P000702|P001253|P001930|P000361|P000987,LV箱包配饰商品940|Samsonite箱包配饰商品380|Samsonite箱包配饰商品997|GUCCI箱包配饰商品904|Samsonite箱包配饰商品467
1670,U002344,0.1994,0.222012,低意向,医药保健,高性价比优惠池,P000765|P000827|P001891|P000351|P000793,善存医药保健商品608|Swisse医药保健商品414|Swisse医药保健商品235|汤臣倍健医药保健商品112|九芝堂医药保健商品478
1671,U001041,0.1992,0.211836,低意向,图书音像,高性价比优惠池,P001855|P001112|P000053|P001974|P001212,京东图书图书音像商品377|中信出版社图书音像商品870|京东图书图书音像商品199|博库网图书音像商品353|新华书店图书音像商品518
1672,U002724,0.199,0.211235,低意向,手机数码,高性价比优惠池,P000518|P000173|P000438|P001705|P000874,一加手机数码商品882|OPPO手机数码商品663|OPPO手机数码商品771|苹果手机数码商品445|苹果手机数码商品704
1673,U003454,0.199,0.219761,低意向,母婴用品,高性价比优惠池,P001683|P000635|P001865|P000991|P001946,帮宝适母婴用品商品297|贝因美母婴用品商品691|贝因美母婴用品商品921|帮宝适母婴用品商品195|花王母婴用品商品688
1674,U004283,0.199,0.223135,低意向,医药保健,高性价比优惠池,P000765|P000827|P001891|P000351|P000793,善存医药保健商品608|Swisse医药保健商品414|Swisse医药保健商品235|汤臣倍健医药保健商品112|九芝堂医药保健商品478
1675,U002212,0.1989,0.213114,低意向,珠宝首饰,高性价比优惠池,P000974|P000711|P001945|P000774|P001226,明牌珠宝首饰商品793|老凤祥珠宝首饰商品116|老凤祥珠宝首饰商品246|周大福珠宝首饰商品251|潮宏基珠宝首饰商品314
1676,U002424,0.1987,0.245163,低意向,汽车用品,高性价比优惠池,P001350|P001831|P000932|P001413|P001281,海康威视汽车用品商品339|3M汽车用品商品278|米其林汽车用品商品745|3M汽车用品商品342|卡仕达汽车用品商品144
1677,U002331,0.1986,0.230019,低意向,手机数码,高性价比优惠池,P000518|P000173|P000438|P001705|P000874,一加手机数码商品882|OPPO手机数码商品663|OPPO手机数码商品771|苹果手机数码商品445|苹果手机数码商品704
1678,U001972,0.1985,0.254309,低意向,运动户外,高性价比优惠池,P001637|P001804|P001967|P000194|P000210,李宁运动户外商品816|李宁运动户外商品353|探路者运动户外商品827|始祖鸟运动户外商品528|安踏运动户外商品113
1679,U002300,0.1985,0.221805,低意向,美妆护肤,高性价比优惠池,P001748|P000034|P001010|P000095|P001810,完美日记美妆护肤商品797|雅诗兰黛美妆护肤商品818|雅诗兰黛美妆护肤商品295|欧莱雅美妆护肤商品977|欧莱雅美妆护肤商品587
1680,U004073,0.1985,0.22552,低意向,图书音像,高性价比优惠池,P001855|P001112|P000053|P001974|P001212,京东图书图书音像商品377|中信出版社图书音像商品870|京东图书图书音像商品199|博库网图书音像商品353|新华书店图书音像商品518
1681,U000146,0.1984,0.207407,低意向,服装鞋包,高性价比优惠池,P001581|P001100|P000662|P001462|P000338,耐克服装鞋包商品711|H&M服装鞋包商品119|海澜之家服装鞋包商品964|耐克服装鞋包商品391|H&M服装鞋包商品587
1682,U000704,0.1984,0.216453,低意向,服装鞋包,高性价比优惠池,P001581|P001100|P000662|P001462|P000338,耐克服装鞋包商品711|H&M服装鞋包商品119|海澜之家服装鞋包商品964|耐克服装鞋包商品391|H&M服装鞋包商品587
1683,U000658,0.1983,0.247687,低意向,运动户外,高性价比优惠池,P001637|P001804|P001967|P000194|P000210,李宁运动户外商品816|李宁运动户外商品353|探路者运动户外商品827|始祖鸟运动户外商品528|安踏运动户外商品113
1684,U001124,0.1981,0.248807,低意向,礼品鲜花,高性价比优惠池,P000831|P000680|P001029|P000319|P000890,Roseonly礼品鲜花商品580|施华洛世奇礼品鲜花商品208|野兽派礼品鲜花商品389|施华洛世奇礼品鲜花商品633|潘多拉礼品鲜花商品586
1685,U004153,0.1981,0.271054,低意向,服装鞋包,高性价比优惠池,P001581|P001100|P000662|P001462|P000338,耐克服装鞋包商品711|H&M服装鞋包商品119|海澜之家服装鞋包商品964|耐克服装鞋包商品391|H&M服装鞋包商品587
1686,U000907,0.198,0.215398,低意向,母婴用品,高性价比优惠池,P001683|P000635|P001865|P000991|P001946,帮宝适母婴用品商品297|贝因美母婴用品商品691|贝因美母婴用品商品921|帮宝适母婴用品商品195|花王母婴用品商品688
1687,U002958,0.198,0.262953,低意向,医药保健,高性价比优惠池,P000765|P000827|P001891|P000351|P000793,善存医药保健商品608|Swisse医药保健商品414|Swisse医药保健商品235|汤臣倍健医药保健商品112|九芝堂医药保健商品478
1688,U003005,0.198,0.20955,低意向,箱包配饰,高性价比优惠池,P000702|P001253|P001930|P000361|P000987,LV箱包配饰商品940|Samsonite箱包配饰商品380|Samsonite箱包配饰商品997|GUCCI箱包配饰商品904|Samsonite箱包配饰商品467
1689,U004919,0.198,0.215865,低意向,服装鞋包,高性价比优惠池,P001581|P001100|P000662|P001462|P000338,耐克服装鞋包商品711|H&M服装鞋包商品119|海澜之家服装鞋包商品964|耐克服装鞋包商品391|H&M服装鞋包商品587
1690,U000526,0.1979,0.214689,低意向,家用电器,高性价比优惠池,P001338|P000409|P001480|P001850|P001635,苏泊尔家用电器商品596|苏泊尔家用电器商品852|戴森家用电器商品536|戴森家用电器商品883|西门子家用电器商品795
1691,U001580,0.1979,0.22281,低意向,宠物用品,高性价比优惠池,P000174|P001336|P001123|P000231|P001759,麦富迪宠物用品商品180|比瑞吉宠物用品商品181|麦富迪宠物用品商品699|pidan宠物用品商品955|网易严选宠物用品商品408
1692,U001062,0.1978,0.253589,低意向,运动户外,高性价比优惠池,P001637|P001804|P001967|P000194|P000210,李宁运动户外商品816|李宁运动户外商品353|探路者运动户外商品827|始祖鸟运动户外商品528|安踏运动户外商品113
1693,U001681,0.1978,0.218817,低意向,宠物用品,高性价比优惠池,P000174|P001336|P001123|P000231|P001759,麦富迪宠物用品商品180|比瑞吉宠物用品商品181|麦富迪宠物用品商品699|pidan宠物用品商品955|网易严选宠物用品商品408
1694,U000877,0.1977,0.211556,低意向,美妆护肤,高性价比优惠池,P001748|P000034|P001010|P000095|P001810,完美日记美妆护肤商品797|雅诗兰黛美妆护肤商品818|雅诗兰黛美妆护肤商品295|欧莱雅美妆护肤商品977|欧莱雅美妆护肤商品587
1695,U000092,0.1976,0.226436,低意向,宠物用品,高性价比优惠池,P000174|P001336|P001123|P000231|P001759,麦富迪宠物用品商品180|比瑞吉宠物用品商品181|麦富迪宠物用品商品699|pidan宠物用品商品955|网易严选宠物用品商品408
1696,U001734,0.1975,0.225591,低意向,汽车用品,高性价比优惠池,P001350|P001831|P000932|P001413|P001281,海康威视汽车用品商品339|3M汽车用品商品278|米其林汽车用品商品745|3M汽车用品商品342|卡仕达汽车用品商品144
1697,U002696,0.1975,0.219182,低意向,服装鞋包,高性价比优惠池,P001581|P001100|P000662|P001462|P000338,耐克服装鞋包商品711|H&M服装鞋包商品119|海澜之家服装鞋包商品964|耐克服装鞋包商品391|H&M服装鞋包商品587
1698,U003019,0.1975,0.265956,低意向,母婴用品,高性价比优惠池,P001683|P000635|P001865|P000991|P001946,帮宝适母婴用品商品297|贝因美母婴用品商品691|贝因美母婴用品商品921|帮宝适母婴用品商品195|花王母婴用品商品688
1699,U003140,0.1975,0.218339,低意向,食品生鲜,高性价比优惠池,P000995|P001113|P000246|P001573|P000063,良品铺子食品生鲜商品230|三只松鼠食品生鲜商品425|蒙牛食品生鲜商品866|百草味食品生鲜商品634|百草味食品生鲜商品504
1700,U004789,0.1975,0.20148,低意向,服装鞋包,高性价比优惠池,P001581|P001100|P000662|P001462|P000338,耐克服装鞋包商品711|H&M服装鞋包商品119|海澜之家服装鞋包商品964|耐克服装鞋包商品391|H&M服装鞋包商品587
1701,U002279,0.1974,0.220421,低意向,运动户外,高性价比优惠池,P001637|P001804|P001967|P000194|P000210,李宁运动户外商品816|李宁运动户外商品353|探路者运动户外商品827|始祖鸟运动户外商品528|安踏运动户外商品113
1702,U004473,0.1974,0.224939,低意向,箱包配饰,高性价比优惠池,P000702|P001253|P001930|P000361|P000987,LV箱包配饰商品940|Samsonite箱包配饰商品380|Samsonite箱包配饰商品997|GUCCI箱包配饰商品904|Samsonite箱包配饰商品467
1703,U004798,0.1973,0.248092,低意向,图书音像,高性价比优惠池,P001855|P001112|P000053|P001974|P001212,京东图书图书音像商品377|中信出版社图书音像商品870|京东图书图书音像商品199|博库网图书音像商品353|新华书店图书音像商品518
1704,U002678,0.1972,0.251707,低意向,服装鞋包,高性价比优惠池,P001581|P001100|P000662|P001462|P000338,耐克服装鞋包商品711|H&M服装鞋包商品119|海澜之家服装鞋包商品964|耐克服装鞋包商品391|H&M服装鞋包商品587
1705,U001940,0.1971,0.228351,低意向,食品生鲜,高性价比优惠池,P000995|P001113|P000246|P001573|P000063,良品铺子食品生鲜商品230|三只松鼠食品生鲜商品425|蒙牛食品生鲜商品866|百草味食品生鲜商品634|百草味食品生鲜商品504
1706,U003770,0.1971,0.214307,低意向,手机数码,高性价比优惠池,P000518|P000173|P000438|P001705|P000874,一加手机数码商品882|OPPO手机数码商品663|OPPO手机数码商品771|苹果手机数码商品445|苹果手机数码商品704
1707,U004741,0.1971,0.238996,低意向,食品生鲜,高性价比优惠池,P000995|P001113|P000246|P001573|P000063,良品铺子食品生鲜商品230|三只松鼠食品生鲜商品425|蒙牛食品生鲜商品866|百草味食品生鲜商品634|百草味食品生鲜商品504
1708,U004760,0.1971,0.220063,低意向,运动户外,高性价比优惠池,P001637|P001804|P001967|P000194|P000210,李宁运动户外商品816|李宁运动户外商品353|探路者运动户外商品827|始祖鸟运动户外商品528|安踏运动户外商品113
1709,U002228,0.197,0.214334,低意向,家用电器,高性价比优惠池,P001338|P000409|P001480|P001850|P001635,苏泊尔家用电器商品596|苏泊尔家用电器商品852|戴森家用电器商品536|戴森家用电器商品883|西门子家用电器商品795
1710,U002941,0.1969,0.200763,低意向,箱包配饰,高性价比优惠池,P000702|P001253|P001930|P000361|P000987,LV箱包配饰商品940|Samsonite箱包配饰商品380|Samsonite箱包配饰商品997|GUCCI箱包配饰商品904|Samsonite箱包配饰商品467
1711,U004319,0.1969,0.215043,低意向,箱包配饰,高性价比优惠池,P000702|P001253|P001930|P000361|P000987,LV箱包配饰商品940|Samsonite箱包配饰商品380|Samsonite箱包配饰商品997|GUCCI箱包配饰商品904|Samsonite箱包配饰商品467
1712,U004470,0.1968,0.228919,低意向,手机数码,高性价比优惠池,P000518|P000173|P000438|P001705|P000874,一加手机数码商品882|OPPO手机数码商品663|OPPO手机数码商品771|苹果手机数码商品445|苹果手机数码商品704
1713,U004595,0.1968,0.215145,低意向,礼品鲜花,高性价比优惠池,P000831|P000680|P001029|P000319|P000890,Roseonly礼品鲜花商品580|施华洛世奇礼品鲜花商品208|野兽派礼品鲜花商品389|施华洛世奇礼品鲜花商品633|潘多拉礼品鲜花商品586
1714,U001937,0.1967,0.215462,低意向,家用电器,高性价比优惠池,P001338|P000409|P001480|P001850|P001635,苏泊尔家用电器商品596|苏泊尔家用电器商品852|戴森家用电器商品536|戴森家用电器商品883|西门子家用电器商品795
1715,U002204,0.1967,0.214495,低意向,家用电器,高性价比优惠池,P001338|P000409|P001480|P001850|P001635,苏泊尔家用电器商品596|苏泊尔家用电器商品852|戴森家用电器商品536|戴森家用电器商品883|西门子家用电器商品795
1716,U003039,0.1967,0.205573,低意向,箱包配饰,高性价比优惠池,P000702|P001253|P001930|P000361|P000987,LV箱包配饰商品940|Samsonite箱包配饰商品380|Samsonite箱包配饰商品997|GUCCI箱包配饰商品904|Samsonite箱包配饰商品467
1717,U001109,0.1966,0.261718,低意向,运动户外,高性价比优惠池,P001637|P001804|P001967|P000194|P000210,李宁运动户外商品816|李宁运动户外商品353|探路者运动户外商品827|始祖鸟运动户外商品528|安踏运动户外商品113
1718,U001417,0.1966,0.208652,低意向,医药保健,高性价比优惠池,P000765|P000827|P001891|P000351|P000793,善存医药保健商品608|Swisse医药保健商品414|Swisse医药保健商品235|汤臣倍健医药保健商品112|九芝堂医药保健商品478
1719,U003978,0.1966,0.23193,低意向,图书音像,高性价比优惠池,P001855|P001112|P000053|P001974|P001212,京东图书图书音像商品377|中信出版社图书音像商品870|京东图书图书音像商品199|博库网图书音像商品353|新华书店图书音像商品518
1720,U001522,0.1965,0.217853,低意向,家居家装,高性价比优惠池,P001900|P001343|P000229|P001466|P001151,顾家家居家居家装商品551|曲美家居家装商品469|顾家家居家居家装商品198|马可波罗家居家装商品613|宜家家居家装商品838
1721,U002110,0.1965,0.214017,低意向,汽车用品,高性价比优惠池,P001350|P001831|P000932|P001413|P001281,海康威视汽车用品商品339|3M汽车用品商品278|米其林汽车用品商品745|3M汽车用品商品342|卡仕达汽车用品商品144
1722,U003634,0.1965,0.221633,低意向,美妆护肤,高性价比优惠池,P001748|P000034|P001010|P000095|P001810,完美日记美妆护肤商品797|雅诗兰黛美妆护肤商品818|雅诗兰黛美妆护肤商品295|欧莱雅美妆护肤商品977|欧莱雅美妆护肤商品587
